Total,Qty,Cost,Description,Unit
0,0,1.5,Beetroot,Plug
0,0,1.5,Broccoli,Plug
0,0,1.5,Cabbage,Plug
0,0,1.5,Carrot,Plug
0,0,1.5,Cauliflower,Plug
0,0,1.5,Cucumber,Plug
0,0,1.5,Chinese Cabbage,Plug
0,0,1.5,Egg Plant - Brinjal,Plug
0,0,1.5,Kale,Plug
0,0,1.5,Leeks,Plug
0,0,1.5,Lettuces,Plug
0,0,1.5,Mustard,Plug
0,0,1.5,Onions,Plug
0,0,1.5,Spinach,Plug
0,0,1.5,Turnip,Plug
0,0,12,Basil,Tray
0,0,12,Coriander,Tray
0,0,15,Chives,Bag
0,0,14,Lavender,Bag
0,0,15,Lemon Grass,Bag
0,0,15,Lemon Thyme,Bag
0,0,15,Lemon Balm,Bag
0,0,11,Mint,Bag
0,0,8,Nasturtium,Bag
0,0,9,Oregano,Bag
0,0,12,Parsley,Tray
0,0,11,Rosemary,Bag
0,0,14,Rhue,Bag
0,0,15,Spearmint,Bag
0,0,10,Cape Gooseberries,Bag
0,0,15,Bilbine Frutescenes,Bag
0,0,15,Bulbine natalisene,Bag
0,0,14,Daisy,Bag
0,0,15,Green Plant,Bag
0,0,13,Mondo Grass,Bag
0,0,15,Pelargonium Rose Geranuim,Bag
0,0,15,Pelargonium Fancy-Leaved,Bag
0,0,13,Rock Roses,Bag
0,0,15,Cape Honey Suckle,Bag
0,0,300,Cycads,Bag
0,0,14,Junkus Petens,Bag
0,0,15,Sour Fig,Bag
0,0,15,Umdoni,Bag
0,0,14,White Lily,Bag
0,0,13,Compost,10L Bag
0,0,45,Compost,50 DM
0,0,10,Liquid Bokashi,500ml
0,0,7.5,Liquid Manure,500ml
0,0,10,Liquid Manure,1L
0,0,15,Liquid Manure,2L
0,0,500,Worms Farm ,C141x3 w/ Lid & Tap
0,0,,Worms,Individual
0,0,10,Worm Tea,500ml
0,0,15,Worm Tea,1L
0,0,20,Worm Tea,2L
